,Depth,Resistivity,Gamma Ray,Total Porosity,Effective Porosity,Bulk Density,Compression Wave Travel Time,Shear Wave Travel Time
1474,7542.0,667.5,393.79263,0.01925,0.00803,2.69293,90.60422,152.80548
1475,7542.5,447.93927,448.33228,0.02722,0.01317,2.70373,91.25227,153.25681
1476,7543.0,489.64221,516.39307,0.05226,0.03611,2.63868,92.27171,153.59135
1477,7543.5,739.87177,575.41248,0.07522,0.05678,2.53956,92.98007,154.31329
1478,7544.0,548.68976,614.26794,0.08772,0.06743,2.47538,92.79897,154.84044
1479,7544.5,324.5116,623.15021,0.09078,0.07013,2.43755,91.61377,153.98483
1480,7545.0,304.21091,582.7608,0.09393,0.07431,2.43001,89.72652,150.99669
1481,7545.5,342.96817,492.87491,0.09745,0.07921,2.43645,87.65732,146.43434
1482,7546.0,376.09418,393.09708,0.09809,0.08193,2.44387,85.79625,141.52295
1483,7546.5,334.3244,328.16821,0.09868,0.08567,2.44679,83.84161,137.01614
1484,7547.0,450.0274,307.50497,0.09771,0.08793,2.44639,80.20059,132.90829
1485,7547.5,495.07755,278.50949,0.09254,0.08403,2.46758,73.86945,129.09108
1486,7548.0,759.61481,221.36523,0.08017,0.07035,2.50897,66.95187,126.24332
1487,7548.5,2715.56982,167.77191,0.07357,0.06143,2.54584,64.1469,125.69941
1488,7549.0,3883.75171,160.49646,0.07981,0.06469,2.5349,68.01165,128.03934
1489,7549.5,438.28015,199.42354,0.08954,0.07141,2.50529,75.77693,131.92268
1490,7550.0,87.38821,244.34166,0.09256,0.0728,2.49761,81.29281,134.82416
1491,7550.5,137.2536,261.51733,0.09173,0.07321,2.51069,81.33421,135.29019
1492,7551.0,292.05597,245.1412,0.09082,0.07476,2.51623,78.65821,133.60765
1493,7551.5,469.53516,221.33334,0.08594,0.07238,2.50917,77.13632,131.18742
1494,7552.0,187.11142,211.68356,0.07809,0.06675,2.52127,77.44006,128.76141
1495,7552.5,177.56075,215.51978,0.07419,0.0652,2.55093,76.09373,125.88512
1496,7553.0,421.64594,204.68115,0.0684,0.06103,2.57138,71.42622,122.12997
1497,7553.5,873.10577,171.00085,0.05922,0.05263,2.59478,65.55189,117.87826
1498,7554.0,2088.51147,130.69493,0.0504,0.0435,2.61553,61.55787,114.45509
1499,7554.5,2560.80713,111.76205,0.05034,0.04196,2.62209,61.76497,112.65672
1500,7555.0,1334.17139,117.31731,0.05625,0.0454,2.59002,66.01875,113.61781
1501,7555.5,149.02971,130.53612,0.05505,0.04226,2.56726,71.43098,118.72327
